date,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations_per_million,share_doses_used,fips,deaths,new_cases,total_cases,population
2020-02-09,California,,,,,,,,,,,,6,0,0,6,39513700
2020-02-09,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-09,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-09,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-09,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-10,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-10,California,,,,,,,,,,,,6,0,1,7,39513700
2020-02-10,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-10,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-10,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-10,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-11,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-11,California,,,,,,,,,,,,6,0,0,7,39513700
2020-02-11,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-11,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-11,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-11,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-12,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-12,California,,,,,,,,,,,,6,0,0,7,39513700
2020-02-12,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-12,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-12,Texas,,,,,,,,,,,,48,0,1,1,28997300
2020-02-12,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-12,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-13,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-13,California,,,,,,,,,,,,6,0,0,7,39513700
2020-02-13,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-13,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-13,Texas,,,,,,,,,,,,48,0,1,2,28997300
2020-02-13,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-13,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-14,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-14,California,,,,,,,,,,,,6,0,0,7,39513700
2020-02-14,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-14,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-14,Texas,,,,,,,,,,,,48,0,0,2,28997300
2020-02-14,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-14,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-15,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-15,California,,,,,,,,,,,,6,0,0,7,39513700
2020-02-15,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-15,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-15,Texas,,,,,,,,,,,,48,0,0,2,28997300
2020-02-15,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-15,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-16,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-16,California,,,,,,,,,,,,6,0,0,7,39513700
2020-02-16,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-16,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-16,Texas,,,,,,,,,,,,48,0,0,2,28997300
2020-02-16,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-16,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-17,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-17,California,,,,,,,,,,,,6,0,0,7,39513700
2020-02-17,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-17,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-17,Nebraska,,,,,,,,,,,,31,0,10,10,1934500
2020-02-17,Texas,,,,,,,,,,,,48,0,0,2,28997300
2020-02-17,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-17,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-18,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-18,California,,,,,,,,,,,,6,0,0,7,39513700
2020-02-18,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-18,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-18,Nebraska,,,,,,,,,,,,31,0,0,10,1934500
2020-02-18,Texas,,,,,,,,,,,,48,0,0,2,28997300
2020-02-18,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-18,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-19,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-19,California,,,,,,,,,,,,6,0,0,7,39513700
2020-02-19,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-19,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-19,Nebraska,,,,,,,,,,,,31,0,0,10,1934500
2020-02-19,Texas,,,,,,,,,,,,48,0,0,2,28997300
2020-02-19,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-19,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-20,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-20,California,,,,,,,,,,,,6,0,1,8,39513700
2020-02-20,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-20,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-20,Nebraska,,,,,,,,,,,,31,0,1,11,1934500
2020-02-20,Texas,,,,,,,,,,,,48,0,0,2,28997300
2020-02-20,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-20,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-21,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-21,California,,,,,,,,,,,,6,0,1,9,39513700
2020-02-21,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-21,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-21,Nebraska,,,,,,,,,,,,31,0,0,11,1934500
2020-02-21,Texas,,,,,,,,,,,,48,0,2,4,28997300
2020-02-21,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-21,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-22,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-22,California,,,,,,,,,,,,6,0,0,9,39513700
2020-02-22,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-22,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-22,Nebraska,,,,,,,,,,,,31,0,0,11,1934500
2020-02-22,Texas,,,,,,,,,,,,48,0,0,4,28997300
2020-02-22,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-22,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-23,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-23,California,,,,,,,,,,,,6,0,0,9,39513700
2020-02-23,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-23,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-23,Nebraska,,,,,,,,,,,,31,0,0,11,1934500
2020-02-23,Texas,,,,,,,,,,,,48,0,0,4,28997300
2020-02-23,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-23,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-24,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-24,California,,,,,,,,,,,,6,0,2,11,39513700
2020-02-24,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-24,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-24,Nebraska,,,,,,,,,,,,31,0,1,12,1934500
2020-02-24,Texas,,,,,,,,,,,,48,0,6,10,28997300
2020-02-24,Washington,,,,,,,,,,,,53,0,4,5,7614800
2020-02-24,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-25,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-25,California,,,,,,,,,,,,6,0,0,11,39513700
2020-02-25,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-25,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-25,Nebraska,,,,,,,,,,,,31,0,1,13,1934500
2020-02-25,Texas,,,,,,,,,,,,48,0,0,10,28997300
2020-02-25,Utah,,,,,,,,,,,,49,0,1,1,3206300
2020-02-25,Washington,,,,,,,,,,,,53,0,0,5,7614800
2020-02-25,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-26,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-26,California,,,,,,,,,,,,6,0,15,26,39513700
2020-02-26,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-26,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-26,Nebraska,,,,,,,,,,,,31,0,0,13,1934500
2020-02-26,Texas,,,,,,,,,,,,48,0,0,10,28997300
2020-02-26,Utah,,,,,,,,,,,,49,0,0,1,3206300
2020-02-26,Washington,,,,,,,,,,,,53,0,0,5,7614800
2020-02-26,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-27,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-27,California,,,,,,,,,,,,6,0,0,26,39513700
2020-02-27,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-27,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-27,Nebraska,,,,,,,,,,,,31,0,0,13,1934500
2020-02-27,Texas,,,,,,,,,,,,48,0,0,10,28997300
2020-02-27,Utah,,,,,,,,,,,,49,0,0,1,3206300
2020-02-27,Washington,,,,,,,,,,,,53,0,0,5,7614800
2020-02-27,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-28,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-28,California,,,,,,,,,,,,6,0,1,27,39513700
2020-02-28,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-28,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-28,Nebraska,,,,,,,,,,,,31,0,0,13,1934500
2020-02-28,Oregon,,,,,,,,,,,,41,0,1,1,4217500
2020-02-28,Texas,,,,,,,,,,,,48,0,1,11,28997300
2020-02-28,Utah,,,,,,,,,,,,49,0,0,1,3206300
2020-02-28,Washington,,,,,,,,,,,,53,0,2,7,7614800
2020-02-28,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-02-29,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-29,California,,,,,,,,,,,,6,0,1,28,39513700
2020-02-29,Illinois,,,,,,,,,,,,17,0,1,3,12672400
2020-02-29,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-02-29,Nebraska,,,,,,,,,,,,31,0,0,13,1934500
2020-02-29,Oregon,,,,,,,,,,,,41,0,0,1,4217500
2020-02-29,Texas,,,,,,,,,,,,48,0,0,11,28997300
2020-02-29,Utah,,,,,,,,,,,,49,0,0,1,3206300
2020-02-29,Washington,,,,,,,,,,,,53,1,3,10,7614800
2020-02-29,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-03-01,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-03-01,California,,,,,,,,,,,,6,0,5,33,39513700
2020-03-01,Florida,,,,,,,,,,,,12,0,2,2,21479100
2020-03-01,Illinois,,,,,,,,,,,,17,0,0,3,12672400
2020-03-01,Massachusetts,,,,,,,,,,,,25,0,0,1,6892900
2020-03-01,Nebraska,,,,,,,,,,,,31,0,0,13,1934500
2020-03-01,New York,,,,,,,,,,,,36,0,1,1,19455200
2020-03-01,Oregon,,,,,,,,,,,,41,0,1,2,4217500
2020-03-01,Rhode Island,,,,,,,,,,,,44,0,2,2,1059300
2020-03-01,Texas,,,,,,,,,,,,48,0,0,11,28997300
2020-03-01,Utah,,,,,,,,,,,,49,0,0,1,3206300
2020-03-01,Washington,,,,,,,,,,,,53,3,7,17,7614800
2020-03-01,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-03-02,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-03-02,California,,,,,,,,,,,,6,0,5,38,39513700
2020-03-02,Florida,,,,,,,,,,,,12,0,0,2,21479100
2020-03-02,Georgia,,,,,,,,,,,,13,0,2,2,10617100
2020-03-02,Illinois,,,,,,,,,,,,17,0,1,4,12672400
2020-03-02,Massachusetts,,,,,,,,,,,,25,0,1,2,6892900
2020-03-02,Nebraska,,,,,,,,,,,,31,0,0,13,1934500
2020-03-02,New Hampshire,,,,,,,,,,,,33,0,1,1,1359700
2020-03-02,New York,,,,,,,,,,,,36,0,0,1,19455200
2020-03-02,Oregon,,,,,,,,,,,,41,0,0,2,4217500
2020-03-02,Rhode Island,,,,,,,,,,,,44,0,0,2,1059300
